40
|
150.0|3000|0.00679|0.516|1.464|
200.0|3000|0.00679|0.844|1.488|
310.0|3000|0.00679|0.452|1.232|
310.0|3000|0.00679|0.668|1.124|
210.0|3000|0.00679|0.850|1.350|
180.0|3000|0.00679|0.460|0.908|
250.0|3000|0.00679|0.816|0.900|
160.0|3000|0.00679|1.488|1.480|
270.0|3000|0.00679|1.350|1.260|
290.0|3000|0.00679|1.980|1.496|
350.0|3000|0.00679|1.944|1.036|
330.0|3000|0.00679|1.528|0.776|
390.0|3000|0.00679|2.040|0.608|
400.0|3000|0.00679|1.168|0.692|
300.0|3000|0.00679|0.440|0.572|
360.0|3000|0.00679|0.792|0.592|
200.0|3000|0.00679|1.052|0.356|
200.0|3000|0.00679|1.588|0.460|
360.0|3000|0.00679|1.872|1.304|
400.0|3000|0.00679|1.196|1.708|
300.0|3000|0.00679|2.276|1.180|
350.0|3000|0.00679|1.976|0.292|
200.0|3000|0.00679|0.576|0.328|
240.0|3000|0.00679|1.368|0.336|
300.0|3000|0.00679|0.200|1.484|
340.0|3000|0.00679|0.200|0.864|
350.0|3000|0.00679|0.196|0.252|
250.0|3000|0.00679|2.356|0.340|
160.0|3000|0.00679|0.168|1.208|
340.0|3000|0.00679|2.388|0.796|
300.0|3000|0.00679|1.708|1.716|
320.0|3000|0.00679|2.344|1.716|
280.0|3000|0.00679|0.504|1.712|
300.0|3000|0.00679|0.168|0.548|
320.0|3000|0.00679|2.420|1.488|
300.0|3000|0.00679|0.832|1.696|
320.0|3000|0.00679|1.820|0.888|
350.0|3000|0.00679|1.212|1.500|
200.0|3000|0.00679|1.050|1.230|
300.0|3000|0.00679|1.692|0.176|
|
